person_id,name,team_id,team,team_abbreviation,position,rank,avg_speed,speed_runs,sprints,total_distance
498393,Tyrique Mercera,285023_1895293,Curaçao,CUW,,2273,0.0,0.0,0.0,0.0
405179,Ulisses Garcia,285023_43971,Switzerland,SUI,,2275,0.0,0.0,0.0,0.0
484104,Umut Nayir,285023_43972,Türkiye,TUR,,2277,0.0,0.0,0.0,0.0
483967,Uran Bislimi,285023_43971,Switzerland,SUI,,2279,0.0,0.0,0.0,0.0
483974,Vaclav Jemelka,285023_43995,Czechia,CZE,,2281,0.0,0.0,0.0,0.0
514162,Vaclav Sejk,285023_43995,Czechia,CZE,,2282,0.0,0.0,0.0,0.0
430840,Vakoun Issouf Bayo,285023_43854,Côte d'Ivoire,CIV,,2283,0.0,0.0,0.0,0.0
484030,Vasil Kusej,285023_43995,Czechia,CZE,,2285,0.0,0.0,0.0,0.0
502948,Victor Eriksson,285023_43970,Sweden,SWE,,2286,0.0,0.0,0.0,0.0
418726,Victor Griffith,285023_43914,Panama,PAN,,2287,0.0,0.0,0.0,0.0
424168,Victor Guzman,285023_43911,Mexico,MEX,,2288,0.0,0.0,0.0,0.0
523196,Victor Joseph,285023_43908,Haiti,HAI,,2289,0.0,0.0,0.0,0.0
395283,Victor Lindelof,285023_43970,Sweden,SWE,df,2290,5.72,315.0,101.0,37262.4
483546,Viljar Myhra,285023_43961,Norway,NOR,,2294,0.0,0.0,0.0,0.0
484867,Vincent Sierro,285023_43971,Switzerland,SUI,,2295,0.0,0.0,0.0,0.0
405742,Vinicius Junior,285023_43924,Brazil,BRA,fw,2296,5.68,514.0,253.0,47848.57
492462,Vitinho,285023_43924,Brazil,BRA,,2299,0.0,0.0,0.0,0.0
475044,Vitor Reis,285023_43924,Brazil,BRA,,2300,0.0,0.0,0.0,0.0
484281,Vladimir Nazarov,285023_44005,Uzbekistan,UZB,,2303,0.0,0.0,0.0,0.0
523126,Vojtech Patrak,285023_43995,Czechia,CZE,,2304,0.0,0.0,0.0,0.0
494612,Vuyo Letlapa,285023_43883,South Africa,RSA,,2306,0.0,0.0,0.0,0.0
436621,Wajdi Kechrida,285023_43888,Tunisia,TUN,,2308,0.0,0.0,0.0,0.0
369097,Walker Zimmerman,285023_43921,USA,USA,,2310,0.0,0.0,0.0,0.0
473003,Walter Benitez,285023_43922,Argentina,ARG,,2311,0.0,0.0,0.0,0.0
492712,Warren Kamanzi,285023_43961,Norway,NOR,,2312,0.0,0.0,0.0,0.0
395318,Wataru Endo,285023_43819,Japan,JPN,mf,2314,0.0,0.0,0.0,0.0
461089,Wesley,285023_43924,Brazil,BRA,,2315,0.0,0.0,0.0,0.0
522492,Wesley Delgado,285023_43850,Cabo Verde,CPV,,2316,0.0,0.0,0.0,0.0
430705,Wesley Fofana,285023_43946,France,FRA,,2317,0.0,0.0,0.0,0.0
519959,Williot Swedberg,285023_43970,Sweden,SWE,,2325,0.0,0.0,0.0,0.0
394377,Wilmar Barrios,285023_43926,Colombia,COL,,2327,0.0,0.0,0.0,0.0
510758,Woobens Pacius,285023_43908,Haiti,HAI,,2329,0.0,0.0,0.0,0.0
389558,Wout Faes,285023_43935,Belgium,BEL,,2331,0.0,0.0,0.0,0.0
466339,Xander Severina,285023_1895293,Curaçao,CUW,,2333,0.0,0.0,0.0,0.0
407381,Xavier Arreaga,285023_43927,Ecuador,ECU,,2335,0.0,0.0,0.0,0.0
510922,Yan Diomande,285023_43854,Côte d'Ivoire,CIV,fw,2338,5.71,370.0,178.0,34347.31
504195,Yanela Mbuthuma,285023_43883,South Africa,RSA,,2340,0.0,0.0,0.0,0.0
485781,Yanis Begraoui,285023_43872,Morocco,MAR,,2342,0.0,0.0,0.0,0.0
405926,Yann Bisseck,285023_43948,Germany,GER,,2343,0.0,0.0,0.0,0.0
485674,Yann Gboho,285023_43854,Côte d'Ivoire,CIV,,2344,0.0,0.0,0.0,0.0
398653,Yannick Carrasco,285023_43935,Belgium,BEL,,2345,0.0,0.0,0.0,0.0
463896,Yaser Asprilla,285023_43926,Colombia,COL,,2347,0.0,0.0,0.0,0.0
369267,Yasser Ibrahim,285023_43855,Egypt,EGY,df,2349,5.79,514.0,181.0,51489.36
336486,Yassine Benzia,285023_43843,Algeria,ALG,,2351,0.0,0.0,0.0,0.0
505090,Yassir Zabiri,285023_43872,Morocco,MAR,,2354,0.0,0.0,0.0,0.0
431225,Yazan Alarab,285023_43820,Jordan,JOR,df,2355,5.49,258.0,78.0,28270.79
431226,Yazan Alnaimat,285023_43820,Jordan,JOR,,2356,0.0,0.0,0.0,0.0
470757,Yerson Mosquera,285023_43926,Colombia,COL,,2361,0.0,0.0,0.0,0.0
441316,Yoane Wissa,285023_20014,Congo DR,COD,fw,2362,6.07,384.0,140.0,41481.27
401444,Youri Tielemans,285023_43935,Belgium,BEL,mf,2363,5.75,862.0,256.0,61812.67
478993,Yousef Abualjazar,285023_43820,Jordan,JOR,,2364,0.0,0.0,0.0,0.0
481186,Yousef Abujalboush,285023_43820,Jordan,JOR,,2365,0.0,0.0,0.0,0.0
511901,Yousef Qashi,285023_43820,Jordan,JOR,,2366,0.0,0.0,0.0,0.0
419428,Youssef Ayman,285023_43834,Qatar,QAT,,2368,0.0,0.0,0.0,0.0
401885,Youssef En Nesyri,285023_43872,Morocco,MAR,,2370,0.0,0.0,0.0,0.0
473132,Youssef Enriquez Lekhedim,285023_43872,Morocco,MAR,,2371,0.0,0.0,0.0,0.0
419162,Youssouf Fofana,285023_43946,France,FRA,,2372,0.0,0.0,0.0,0.0
485492,Yu Hirakawa,285023_43819,Japan,JPN,,2373,0.0,0.0,0.0,0.0
491165,Yuki Ohashi,285023_43819,Japan,JPN,,2375,0.0,0.0,0.0,0.0
430405,Yuki Soma,285023_43819,Japan,JPN,,2376,0.0,0.0,0.0,0.0
405528,Yukinari Sugawara,285023_43819,Japan,JPN,df,2377,6.28,195.0,72.0,18767.61
