person_id,name,team_id,team,team_abbreviation,position,rank,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
402817,Paik Seungho,285023_43822,Korea Republic,KOR,MF,535,1.0,2.0,1.0,0.0,0.0,0.0
448497,Mohammad Mohebbi,285023_43817,IR Iran,IRN,MF,535,1.0,1.0,0.0,0.0,0.0,0.0
403293,Koki Ogawa,285023_43819,Japan,JPN,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
390537,Milad Mohammadi,285023_43817,IR Iran,IRN,DF,535,1.0,1.0,0.0,0.0,0.0,2.0
345059,Abdulaziz Hatem,285023_43834,Qatar,QAT,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
491167,Amer Jamous,285023_43820,Jordan,JOR,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
430669,Florian Wirtz,285023_43948,Germany,GER,MF,535,1.0,3.0,0.0,0.0,0.0,1.0
477790,Mohamed Amoura,285023_43843,Algeria,ALG,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
448585,Yang Hyunjun,285023_43822,Korea Republic,KOR,MF,535,1.0,0.0,0.0,0.0,0.0,1.0
403094,Jean Philippe Mateta,285023_43946,France,FRA,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
433067,Morten Thorsby,285023_43961,Norway,NOR,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
401131,Michael Gregoritsch,285023_43934,Austria,AUT,FW,535,1.0,1.0,0.0,0.0,0.0,2.0
484141,Joao Neves,285023_43963,Portugal,POR,MF,535,1.0,4.0,0.0,0.0,0.0,0.0
483549,Warren Zaire Emery,285023_43946,France,FRA,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
477470,Oscar Bobb,285023_43961,Norway,NOR,MF,535,1.0,4.0,0.0,0.0,0.0,0.0
441088,Nicolas Seiwald,285023_43934,Austria,AUT,MF,535,1.0,1.0,0.0,0.0,0.0,0.0
506329,Djed Spence,285023_43942,England,ENG,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
483448,Antonio Nusa,285023_43961,Norway,NOR,FW,535,1.0,5.0,1.0,0.0,0.0,2.0
514188,Malick Thiaw,285023_43948,Germany,GER,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
492358,Tomas Araujo,285023_43963,Portugal,POR,DF,535,1.0,0.0,1.0,0.0,0.0,0.0
463809,Jarell Quansah,285023_43942,England,ENG,DF,535,1.0,0.0,1.0,1.0,0.0,0.0
369434,John Stones,285023_43942,England,ENG,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
448364,Amadou Onana,285023_43935,Belgium,BEL,MF,535,1.0,3.0,0.0,0.0,0.0,0.0
463288,Phillip Mwene,285023_43934,Austria,AUT,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
473113,Eberechi Eze,285023_43942,England,ENG,MF,535,1.0,3.0,0.0,0.0,0.0,1.0
448346,Arthur Theate,285023_43935,Belgium,BEL,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
485081,Francisco Conceicao,285023_43963,Portugal,POR,FW,535,1.0,1.0,0.0,0.0,0.0,1.0
463746,Endrick,285023_43924,Brazil,BRA,FW,535,1.0,1.0,0.0,0.0,0.0,1.0
379955,Antonio Ruediger,285023_43948,Germany,GER,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
448377,Dodi Lukebakio,285023_43935,Belgium,BEL,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
436537,Musab Aljuwayr,285023_43835,Saudi Arabia,KSA,MF,535,1.0,1.0,0.0,0.0,0.0,2.0
448569,Shuto Machino,285023_43819,Japan,JPN,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
395113,Ramy Bensebaini,285023_43843,Algeria,ALG,DF,535,1.0,5.0,0.0,0.0,0.0,0.0
494291,Ibrahim Maza,285023_43843,Algeria,ALG,MF,535,1.0,5.0,0.0,0.0,0.0,0.0
353251,Ahmed Alaaeldin,285023_43834,Qatar,QAT,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
431230,Noor Alrawabdeh,285023_43820,Jordan,JOR,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
403312,Abdulelah Alamri,285023_43835,Saudi Arabia,KSA,DF,535,1.0,0.0,1.0,0.0,0.0,0.0
418490,Lee Kangin,285023_43822,Korea Republic,KOR,MF,535,1.0,7.0,1.0,0.0,0.0,0.0
430387,Cho Guesung,285023_43822,Korea Republic,KOR,FW,535,1.0,0.0,1.0,0.0,0.0,0.0
477849,Helio Varela,285023_43850,Cabo Verde,CPV,MF,535,1.0,2.0,0.0,0.0,0.0,1.0
431208,Mohammad Abuzraiq,285023_43820,Jordan,JOR,FW,535,1.0,0.0,1.0,0.0,0.0,0.0
390534,Hossein Kanani,285023_43817,IR Iran,IRN,DF,535,1.0,0.0,1.0,0.0,0.0,0.0
403304,Takefusa Kubo,285023_43819,Japan,JPN,MF,535,1.0,1.0,0.0,0.0,0.0,0.0
481180,Shahriyar Moghanloo,285023_43817,IR Iran,IRN,FW,535,1.0,1.0,0.0,0.0,0.0,1.0
484848,Pascal Gross,285023_43948,Germany,GER,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
405263,Kevin Danso,285023_43934,Austria,AUT,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
389754,Petar Musa,285023_43938,Croatia,CRO,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
484850,Maximilian Beier,285023_43948,Germany,GER,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
314197,Neymar Jr,285023_43924,Brazil,BRA,FW,535,1.0,1.0,1.0,0.0,0.0,0.0
464103,Ange Yoan Bonny,285023_43854,Côte d'Ivoire,CIV,FW,535,1.0,3.0,0.0,0.0,0.0,1.0
369530,Jhon Cordoba,285023_43926,Colombia,COL,FW,535,1.0,2.0,0.0,0.0,0.0,2.0
349342,Aziz Behich,285023_43976,Australia,AUS,DF,535,1.0,4.0,0.0,0.0,0.0,0.0
430194,Dennis Hadzikadunic,285023_44037,Bosnia and Herzegovina,BIH,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
514334,Stepan Chaloupek,285023_43995,Czechia,CZE,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
401481,Patrik Schick,285023_43995,Czechia,CZE,FW,535,1.0,3.0,0.0,0.0,0.0,0.0
371345,Odiljon Xamrobekov,285023_44005,Uzbekistan,UZB,MF,535,1.0,1.0,1.0,0.0,0.0,0.0
405469,Liberato Cacace,285023_43978,New Zealand,NZL,DF,535,1.0,5.0,0.0,0.0,0.0,0.0
430120,Mert Muldur,285023_43972,Türkiye,TUR,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
484082,Abdulkerim Bardakci,285023_43972,Türkiye,TUR,DF,535,1.0,3.0,0.0,0.0,0.0,0.0
371393,Dostonbek Khamdamov,285023_44005,Uzbekistan,UZB,MF,535,1.0,0.0,0.0,0.0,0.0,1.0
520217,Findlay Curtis,285023_43967,Scotland,SCO,FW,535,1.0,0.0,1.0,0.0,0.0,0.0
484003,Mojmir Chytil,285023_43995,Czechia,CZE,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
523215,Dominique Simon,285023_43908,Haiti,HAI,MF,535,1.0,1.0,0.0,0.0,0.0,0.0
485069,Ederson Silva,285023_43924,Brazil,BRA,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
394376,Deiver Machado,285023_43926,Colombia,COL,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
433072,Zeki Celik,285023_43972,Türkiye,TUR,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
321697,Mathew Leckie,285023_43976,Australia,AUS,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
464566,Esmir Bajraktarevic,285023_44037,Bosnia and Herzegovina,BIH,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
300409,Edin Dzeko,285023_44037,Bosnia and Herzegovina,BIH,FW,535,1.0,2.0,1.0,0.0,0.0,0.0
519954,Jovo Lukic,285023_44037,Bosnia and Herzegovina,BIH,FW,535,1.0,0.0,1.0,0.0,0.0,0.0
489521,Stjepan Radeljic,285023_44037,Bosnia and Herzegovina,BIH,DF,535,1.0,3.0,1.0,0.0,0.0,0.0
511141,Armando Obispo,285023_1895293,Curaçao,CUW,DF,535,1.0,0.0,0.0,0.0,0.0,1.0
522846,Ermin Mahmic,285023_44037,Bosnia and Herzegovina,BIH,MF,535,1.0,1.0,1.0,0.0,0.0,0.0
485063,Samed Bazdar,285023_44037,Bosnia and Herzegovina,BIH,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
430452,Connor Metcalfe,285023_43976,Australia,AUS,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
371415,Rustam Ashurmatov,285023_44005,Uzbekistan,UZB,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
484051,Kenny Mclean,285023_43967,Scotland,SCO,MF,535,1.0,1.0,1.0,0.0,0.0,0.0
448015,Cristian Volpato,285023_43976,Australia,AUS,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
430147,Jack Hendry,285023_43967,Scotland,SCO,DF,535,1.0,3.0,0.0,0.0,0.0,0.0
404319,Ajdin Hrustic,285023_43976,Australia,AUS,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
493221,Miro Muheim,285023_43971,Switzerland,SUI,DF,535,1.0,3.0,1.0,0.0,0.0,0.0
503047,Besfort Zeneli,285023_43970,Sweden,SWE,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
483304,Gustaf Lagerbielke,285023_43970,Sweden,SWE,DF,535,1.0,3.0,0.0,0.0,0.0,1.0
491166,Nishan Velupillay,285023_43976,Australia,AUS,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
520066,Jose Canale,285023_43928,Paraguay,PAR,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
337251,Cecilio Waterman,285023_43914,Panama,PAN,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
368660,Guillermo Varela,285023_43930,Uruguay,URU,DF,535,1.0,1.0,1.0,0.0,0.0,0.0
386458,Alejandro Romero Gamarra,285023_43928,Paraguay,PAR,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
441261,Israel Reyes,285023_43911,Mexico,MEX,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
463495,Kendry Paez,285023_43927,Ecuador,ECU,MF,535,1.0,0.0,1.0,0.0,0.0,0.0
464339,Keisuke Goto,285023_43819,Japan,JPN,FW,744,0.0,1.0,0.0,0.0,0.0,0.0
